# PRODUCT_URL | IMAGE_URL  — hotlink miniatur ze sklepow, klucz dopasowania = product_url
# Zebrane przez agentow (2026-07-05). Artiser + brakujace Wanczykowka dopisane osobno.

# ── GAP POLAND (25 zescrapowanych; w bazie 19 — nadmiar to zestawy/kiszonki, nie dopasuja sie) ──
https://serowar.pl/pl/p/PG-kultura-starterowa-bakterie/118 | https://serowar.pl/environment/cache/images/productGfx_5058_500_500/PG---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/PP-kultura-starterowa-bakterie/169 | https://serowar.pl/environment/cache/images/productGfx_5057_500_500/PP---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/SLBH-kultura-starterowa-bakterie/1097 | https://serowar.pl/environment/cache/images/productGfx_5055_500_500/SLBH---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/TB-kultura-startowa-do-sera-na-1000-l-mleka/1753 | https://serowar.pl/environment/cache/images/productGfx_5294_500_500/TB---kultura-startowa-do-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/TME-kultura-startowa-do-sera-na-1000-l-mleka/1749 | https://serowar.pl/environment/cache/images/productGfx_5292_500_500/TME---kultura-startowa-do-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/ABY-bakterie-startowe-do-jogurtu-probiotyk/757 | https://serowar.pl/environment/cache/images/productGfx_5092_500_500/ABY---bakterie-startowe-do-jogurtu---probiotyk-10g.webp
https://serowar.pl/pl/p/Grzybek-kefirowy-tybetanski-ziarna-zrob-wlasny-kefir/90 | https://serowar.pl/environment/cache/images/productGfx_5238_500_500/Grzybek-kefirowy-tybetanski-ziarna.webp
https://serowar.pl/pl/p/Kefir-31-bakterie-startowe-do-kefiru/138 | https://serowar.pl/environment/cache/images/productGfx_5088_500_500/Kefir-31---bakterie-startowe-do-kefiru-10g.webp
https://serowar.pl/pl/p/Kefir-51-bakterie-startowe-do-kefiru/1632 | https://serowar.pl/environment/cache/images/productGfx_5087_500_500/Kefir-51---bakterie-startowe-do-kefiru-10g.webp
https://serowar.pl/pl/p/KFA1-kultura-startowa-do-kefiru-na-1000-l-mleka/1741 | https://serowar.pl/environment/cache/images/productGfx_5289_500_500/KFA1---kultura-startowa-do-kefiru-na-1000-l-mleka.webp
https://serowar.pl/pl/p/KFB12-kultura-startowa-do-kefiru-na-1000-l-mleka/1742 | https://serowar.pl/environment/cache/images/productGfx_5288_500_500/KFB1---kultura-startowa-do-kefiru-na-1000-l-mleka.webp
https://serowar.pl/pl/p/LCR-bakteryjna-kultura-starterowa-probiotyczna/139 | https://serowar.pl/environment/cache/images/productGfx_5085_500_500/LCR---bakteryjna-kultura-starterowa-probiotyczna-10g.webp
